Institution,Award Cycle,Project Title,Collaborating Institutions,Project Description Page,City,State,Country
University of Michigan Library,2008,Collaboration in Cataloging: Islamic Manuscripts at Michigan,,http://www.clir.org/hiddencollections/awards/for-2008,Ann Arbor,MI,United States of America
University of Nebraska-Lincoln Libraries,2010,Major Railroad Archival Collections,Nebraska State Historical Society,http://www.clir.org/hiddencollections/awards/for-2010,Lincoln,NE,United States of America
University of North Carolina at Chapel Hill,2010,"The Pruitt and Shanks Photographic Collection: The Life of a Southern Region in 140,000 Images",,http://www.clir.org/hiddencollections/awards/for-2010,Chapel Hill,NC,United States of America
University of North Texas,2013,Post-War Industry and Development of the Southwest Metroplex,,http://www.clir.org/hiddencollections/awards/for-2013,Denton,TX,United States of America
University of Pennsylvania,2010,Promoting Research through Rare Book Cataloging Partnerships,,http://www.clir.org/hiddencollections/awards/for-2010,Philadelphia,PA,United States of America
University of Pennsylvania,2012,Uncovering Philadelphia's Past: A Regional Solution to Revealing Hidden Collections,Philadelphia Area Consortium of Special Collections Libraries (PACSCL),http://www.clir.org/hiddencollections/awards/for-2011/for-2012,Philadelphia,PA,United States of America
University of Pennsylvania Libraries,2008,Hidden Collections in the Philadelphia Area: A Consortial Processing and Cataloging Initiative,Philadelphia Area Consortium of Special Collections Libraries (PACSCL),http://www.clir.org/hiddencollections/awards/for-2008,Philadelphia,PA,United States of America
University of Southern California Libraries,2009,Excavating L.A.: USC's Hidden Southern California Historical Collections,,http://www.clir.org/hiddencollections/awards/for-2009,Los Angeles,CA,United States of America
"University of Southern California, ONE National Gay and Lesbian Archives",2012,Out West: The LGBTQ Community Archive Cataloging Project,,http://www.clir.org/hiddencollections/awards/for-2011/for-2012,Los Angeles,CA,United States of America
"University of Texas at Austin, Harry Ransom Center",2010,Revealing Texas Collections of Comedias Sueltas,Texas A&M University Libraries,http://www.clir.org/hiddencollections/awards/for-2010,Austin,TX,United States of America
University of Washington Libraries,2013,Discovering Modern China: University of Washington & University of British Columbia Collections,University of British Columbia Libraries,http://www.clir.org/hiddencollections/awards/for-2013,Seattle,WA,United States of America
"University of Wisconsin at Milwaukee, American Geographical Society Library",2011,Providing Access to the Archives of the American Geographical Society,,http://www.clir.org/hiddencollections/awards/for-2011,Milwaukee,WI,United States of America
WGBH Educational Foundation,2010,Exposing Unknown Boston Local TV News Collections,Boston Public Library; Cambridge Community Television; Northeast Historic Film,http://www.clir.org/hiddencollections/awards/for-2010,Boston,MA,United States of America
Yale Peabody Museum of Natural History,2010,From DNA to Dinosaurs: The Globalization of Science in America and the Development of a University Natural History Museum,,http://www.clir.org/hiddencollections/awards/for-2010,New Haven,CT,United States of America
Yale University Recorded Sound Archives,2009,"Song, Speech, and Dance: Special Collections from the Recorded Sound Archives at Yale and Stanford Universities",Stanford University Recorded Sound Archives,http://www.clir.org/hiddencollections/awards/for-2009,New Haven,CT,United States of America
Yellowstone National Park Archives,2013,Using a Team Approach to Expose YellowstoneÕs Hidden Collections,,http://www.clir.org/hiddencollections/awards/for-2013,Bozeman,MT,United States of America
California Digital Library,2009,Uncovering California's Environmental Collections: A Collaborative Approach,"California State University Chico; California State University Fresno; Humboldt State University; UC Berkeley, Davis, Irvine, Los Angeles, and Riverside; University of Southern California",http://www.clir.org/hiddencollections/awards/for-2009,Oakland,CA,United States of America
Dance Heritage Coalition,2011,Foundations of Dance Research (Foundations),"Arizona State University; Dance Notation Bureau; Library of Congress; Museum of Performance and Design; Ohio State University; Jacob's Pillow Dance Festival; University of California, Los Angeles",http://www.clir.org/hiddencollections/awards/for-2011,Washington,DC,United States of America
La MaMa Experimental Theatre Club,2013,Cataloging La MaMaÕs Pushcart Years: A Unique History of the Off-Off Broadway Theatre Movement,,http://www.clir.org/hiddencollections/awards/for-2013,New York,NY,United States of America
Maine Maritime Museum,2011,Merchant Mariners Muster: Cataloging Crew Manuscripts,,http://www.clir.org/hiddencollections/awards/for-2011,Bath,ME,United States of America
Mennonite Heritage Center,2011,"The Pennsylvania German Textiles of the Goshenhoppen Historians, the Mennonite Heritage Center and the Schwenkfelder Library & Heritage Center",Schwenkfelder Library and Heritage Center; Goshenhoppen Historians,http://www.clir.org/hiddencollections/awards/for-2011,Harleysville,PA,United States of America
"Smithsonian Institution, Archives of American Art",2011,Uncovering Hidden Audio Visual Media Documenting Post-Modern Art at the Archives of American Art,,http://www.clir.org/hiddencollections/awards/for-2011,Washington,DC,United States of America
"State University of New York, University at Buffalo",2013,Processing the Editorial and Business Records of Eleven Little Literary Magazine Archives in the Poetry Collection,,http://www.clir.org/hiddencollections/awards/for-2013,Buffalo,NY,United States of America
"University of California Berkeley, Bancroft Library",2009,San Francisco Examiner Photograph Archive Project,,http://www.clir.org/hiddencollections/awards/for-2009,Berkeley,CA,United States of America
University of Maryland College Park,2012,David C. Driskell Archive Project,,http://www.clir.org/hiddencollections/awards/for-2011/for-2012,College Park,MD,United States of America
Alabama Folklife Association,2012,"Sacred, Secular, and Sewn with Soul:  Discovering Alabama's Folk Culture",Alabama Department of Archives and History (ADAH); Alabama Center for Traditional Culture (ACTC); Archive of Alabama Folk Culture (AAFC),http://www.clir.org/hiddencollections/awards/for-2011/for-2012,Birmingham,AL,United States of America
American Museum of Natural History,2010,"For the People, for Education, for Science: Web Access to the American Museum of Natural History Archives",,http://www.clir.org/hiddencollections/awards/for-2010,New York,NY,United States of America
American Museum of Natural History,2012,Expeditionary Field Work at the American Museum of Natural History,,http://www.clir.org/hiddencollections/awards/for-2011/for-2012,New York,NY,United States of America
Amherst College,2013,Samuel French Theatre Archives,,http://www.clir.org/hiddencollections/awards/for-2013,Amherst,MA,United States of America
Amistad Research Center,2008,Working for Freedom: Documenting Civil Rights Organizations,,http://www.clir.org/hiddencollections/awards/for-2008,New Orleans,LA,United States of America
Amistad Research Center,2011,Increasing Access to Africana Collections: The American Committee on Africa and The Africa Fund Records,,http://www.clir.org/hiddencollections/awards/for-2011,New Orleans,LA,United States of America
Arizona State University,2010,Labor Rights are Civil Rights/Los Derechos de Trabajo Son Derechos Civiles,,http://www.clir.org/hiddencollections/awards/for-2010,Tempe,AZ,United States of America
"Atlanta University Center, Robert W. Woodruff Library",2008,Processing Voter Education Project Collection,,http://www.clir.org/hiddencollections/awards/for-2008,Atlanta,GA,United States of America
Avery Research Center for African American History and Culture at the College of Charleston,2008,Providing Access to African American Collections at the Avery Research Center,,http://www.clir.org/hiddencollections/awards/for-2008,Charleston,SC,United States of America
"Black Metropolis Research Consortium, University of Chicago",2010,"The ""Color Curtain"" Processing Project: Unveiling the Archives of Chicago's Black Metropolis",,http://www.clir.org/hiddencollections/awards/for-2010,Chicago,IL,United States of America
"Bok Tower Gardens, Anton Brees Carillon Library",2013,Cataloging the Vertical Files of the Anton Brees Carillon Library,,http://www.clir.org/hiddencollections/awards/for-2013,Lake Wales,FL,United States of America
Brooklyn Historical Society,2009,Uncovering the Secrets of Brooklyn's 19th Century Past: Creation to Consolidation,,http://www.clir.org/hiddencollections/awards/for-2009,Brooklyn,NY,United States of America
Brooklyn Historical Society,2012,"City, Borough, Neighborhood, Home: Mapping Brooklyn's Twentieth-Century Urban Identity",,http://www.clir.org/hiddencollections/awards/for-2011/for-2012,Brooklyn,NY,United States of America
Brown University Library,2011,"The Gordon Hall and Grace Hoag Collection of Dissenting and Extremist Printed Propaganda, Part II",,http://www.clir.org/hiddencollections/awards/for-2011,Providence,RI,United States of America
Caffè Lena,2012,Uncovering the American Folksong Revival:  Coffeehouse Culture and The Caff� Lena Collection,,http://www.clir.org/hiddencollections/awards/for-2011/for-2012,Durham,NC,United States of America
California Academy of Sciences,2013,Frontier Science: Providing Access to the Early Scientific History of the American West in the Collections of the California Academy of Sciences,,http://www.clir.org/hiddencollections/awards/for-2013,San Francisco,CA,United States of America
California Historical Society,2008,California Ephemera Project,"Gay, Lesbian, Bisexual, Transgender Historical Society; San Francisco Public Library; Society of California Pioneers",http://www.clir.org/hiddencollections/awards/for-2008,San Francisco,CA,United States of America
Center for Jewish History,2011,Illuminating Hidden Collections at the Center for Jewish History,American Jewish Historical Society; Leo Baeck Institute; YIVO Institute for Jewish Research,http://www.clir.org/hiddencollections/awards/for-2011,New York,NY,United States of America
College of Charleston,2009,Jewish Heritage Collection,,http://www.clir.org/hiddencollections/awards/for-2009,Charleston,SC,United States of America
College of Charleston,2012,The William A. Rosenthall Judaica Collection,,http://www.clir.org/hiddencollections/awards/for-2011/for-2012,Charleston,SC,United States of America
Columbia University,2012,American View Books,,http://www.clir.org/hiddencollections/awards/for-2011/for-2012,New York,NY,United States of America
Columbia University,2012,"Documenting Advocacy: Human Rights Collections in the Center for Human Rights Documentation and Research, Columbia University",,http://www.clir.org/hiddencollections/awards/for-2011/for-2012,New York,NY,United States of America
Columbia University,2013,Makino Collection Film Ephemera and Rare Book Project,,http://www.clir.org/hiddencollections/awards/for-2013,New York,NY,United States of America
Dayton Society of Natural History,2013,The Lichliter Site Project: A Model for Revealing Hidden Archaeological Collections,,http://www.clir.org/hiddencollections/awards/for-2013,Dayton,OH,United States of America
Detroit Public Library Friends Foundation,2012,Coleman A. Young Mayoral Papers,,http://www.clir.org/hiddencollections/awards/for-2011/for-2012,Detroit,MI,United States of America
Emory University,2008,"Archives from Atlanta, Cradle of the Civil Rights Movement: The Papers of Andrew Young, SCLC, and NAACP-Atlanta Chapter",Auburn Avenue Research Library on African American Culture and History,http://www.clir.org/hiddencollections/awards/for-2008,Atlanta,GA,United States of America
Erie Canal Museum,2013,Canal Society of New York State Collection,Canal Society of New York State (CSNYS); Canadian Canal Society (CCS),http://www.clir.org/hiddencollections/awards/for-2013,Syracuse,NY,United States of America
Fray Angélico Chávez History Library,2011,Mapas hist—ricos de Nuevo MŽxico = Historic New Mexico Maps,,http://www.clir.org/hiddencollections/awards/for-2011,Santa Fe,NM,United States of America
Free Library of Philadelphia,2009,Milestones in 20th-Century American Children's Literature at the Free Library of Philadelphia,,http://www.clir.org/hiddencollections/awards/for-2009,Philadelphia,PA,United States of America
George Eastman House International Museum of Photography and Film,2013,Documenting Their Films:  Hidden Collections of Four Independent Filmmakers,,http://www.clir.org/hiddencollections/awards/for-2013,Rochester,NY,United States of America
George Mason University,2009,"Uncovering a Forbidden World: Providing Access to East German Art, Culture, and Politics",,http://www.clir.org/hiddencollections/awards/for-2009,Fairfax,VA,United States of America
George Washington University,2013,D.C. Africana Archives Project (DCAAP),"District of Columbia Archives; Howard University Moorland-Spingarn Research Center; Historical Society of Washington, DC; National Museum of American History Archives Center; Martin Luther King Jr. Memorial Library",http://www.clir.org/hiddencollections/awards/for-2013,Washington,DC,United States of America
"Georgetown University, Lauinger Library",2011,Undiscovered Printmakers: Hidden Treasures in Georgetown University's Library,,http://www.clir.org/hiddencollections/awards/for-2011,Washington,DC,United States of America
