Site Name,University,Full Name,Award Year,Dissertation Title,City,State,Country
"Armenian Monastery, Vienna",Duke University,Yektan Turkyilmaz,2003,"Imagining 'Turkey,' Creating a Nation: The Politics of Geography and State Formation in Eastern Anatolia, 1908-1938",Vienna,,Austria
Armenian National Library (Azkayin Krataran),Duke University,Yektan Turkyilmaz,2003,"Imagining 'Turkey,' Creating a Nation: The Politics of Geography and State Formation in Eastern Anatolia, 1908-1938",Yerevan,,Armenia
"Cumhuriyet Arsivi (Republican Archives, Turkey)",Duke University,Yektan Turkyilmaz,2003,"Imagining 'Turkey,' Creating a Nation: The Politics of Geography and State Formation in Eastern Anatolia, 1908-1938",Ankara,,Turkey
Library of the Academy (Akedmiyayi Krataran),Duke University,Yektan Turkyilmaz,2003,"Imagining 'Turkey,' Creating a Nation: The Politics of Geography and State Formation in Eastern Anatolia, 1908-1938",Yerevan,,Armenia
Turkish National Library (Milli Kutuphane),Duke University,Yektan Turkyilmaz,2003,"Imagining 'Turkey,' Creating a Nation: The Politics of Geography and State Formation in Eastern Anatolia, 1908-1938",Ankara,,Turkey
Alexander Black private collection,University of Chicago,Kaveh Askari,2004,American Cinema and the Pictorial Tradition 1894-1918,Chicago,IL,USA
Columbia University Library,University of Chicago,Kaveh Askari,2004,American Cinema and the Pictorial Tradition 1894-1918,New York,NY,USA
Lincoln Centre Performing Arts Library,University of Chicago,Kaveh Askari,2004,American Cinema and the Pictorial Tradition 1894-1918,New York,NY,USA
Princeton University Library,University of Chicago,Kaveh Askari,2004,American Cinema and the Pictorial Tradition 1894-1918,Princeton,NJ,USA
St. Lawrence University Library,University of Chicago,Kaveh Askari,2004,American Cinema and the Pictorial Tradition 1894-1918,Canton,NY,USA
"Asiatic Society, Kolkata",University of Massachusetts-Amherst,Prateeti Ballal,2004,Discipling the Nations: Religion and Colonial Intervention in Late Eighteenth- and Early Nineteenth-Century India,Kolkata,,India
British Library,University of Massachusetts-Amherst,Prateeti Ballal,2004,Discipling the Nations: Religion and Colonial Intervention in Late Eighteenth- and Early Nineteenth-Century India,London,,United Kingdom
National Library of India,University of Massachusetts-Amherst,Prateeti Ballal,2004,Discipling the Nations: Religion and Colonial Intervention in Late Eighteenth- and Early Nineteenth-Century India,Kolkata,,India
Parliamentary Archives of the United Kingdom,University of Massachusetts-Amherst,Prateeti Ballal,2004,Discipling the Nations: Religion and Colonial Intervention in Late Eighteenth- and Early Nineteenth-Century India,London,,United Kingdom
Princeton Theological Seminary Library,University of Massachusetts-Amherst,Prateeti Ballal,2004,Discipling the Nations: Religion and Colonial Intervention in Late Eighteenth- and Early Nineteenth-Century India,Princeton,NJ,USA
"Regent's Park College, Oxford",University of Massachusetts-Amherst,Prateeti Ballal,2004,Discipling the Nations: Religion and Colonial Intervention in Late Eighteenth- and Early Nineteenth-Century India,Oxford,,United Kingdom
Serampore College Archives,University of Massachusetts-Amherst,Prateeti Ballal,2004,Discipling the Nations: Religion and Colonial Intervention in Late Eighteenth- and Early Nineteenth-Century India,Serampore Town,,India
Union Theological Seminary Library,University of Massachusetts-Amherst,Prateeti Ballal,2004,Discipling the Nations: Religion and Colonial Intervention in Late Eighteenth- and Early Nineteenth-Century India,New York,NY,USA
"Isham Memorial Library, Harvard University",Duke University,Samuel Breene,2004,Mozart's Violin Sonatas and Gestures of Embodiment: Toward a New Model of Performance Practice,Boston,MA,USA
Ésterreichische Nationalbibliothek,Duke University,Samuel Breene,2004,Mozart's Violin Sonatas and Gestures of Embodiment: Toward a New Model of Performance Practice,Vienna,,Austria
Wiener Stadt- und Landesbibliothek,Duke University,Samuel Breene,2004,Mozart's Violin Sonatas and Gestures of Embodiment: Toward a New Model of Performance Practice,Vienna,,Austria
