Organization,Address,City,StateTerritory,Postal Code,Country
Princeton University,One Washington Road,Princeton,NJ,08544-2002,USA
Purdue University,504 West State Street,West Lafayette,IN,47907-2058,USA
Rice University,Fondren Library MS-44,Houston,TX,77251-1892,USA
Smithsonian Institution,PO Box 37012,Washington,DC,20013-7012,USA
Stanford University,Cecil H. Green Library rm. 101,Stanford,CA,94305-6004,USA
State University of New York at Albany,1400 Washington Avenue,Albany,NY,12222-0001,USA
Texas A&M University,5000 TAMU,College Station,TX,77843-5000,USA
The George Washington University,"2130 H Street, NW",Washington,DC,20052,USA
University of Arizona,1510 East University,Tucson,AZ,85721-0055,USA
University of British Columbia,1961 East Mall,Vancouver,BC,V6T 1Z1,Canada
"University of California, Berkeley",255 Doe Library,Berkeley,CA,94720-6000,USA
"University of California, Los Angeles",Box 951575,Los Angeles,CA,90095-1575,USA
"University of California, San Diego",9500 Gilman Drive,La Jolla,CA,92093-0175,USA
University of Chicago,1100 East 57th Street - Room 180,Chicago,IL,60637-1502,USA
University of Delaware,181 South College Avenue,Newark,DE,19717-5267,USA
University of Iowa,100 Main Library,Iowa City,IA,52242-1420,USA
University of Maryland at College Park,6131 McKeldin Library,College Park,MD,20742,USA
University of Michigan,320 Hatcher North,Ann Arbor,MI,48109-1190,USA
University of North Carolina at Chapel Hill,Davis Library,Chapel Hill,NC,27514-8890,USA
University of North Texas,1155 Union Circle #305190,Denton,TX,76203-5017,USA
University of Pennsylvania,3420 Walnut Street,Philadelphia,PA,19104-6206,USA
University of Tennessee,1015 Volunteer Boulevard,Knoxville,TN,37996-1000,USA
University of Utah,295 South 1500 East,Salt Lake City,UT,84112-0860,USA
University of Virginia,Alderman Library,Charlottesville,VA,22904-4114,USA
Virginia Polytechnic Institute and State University,Drillfield Drive,Blacksburg,VA,24062-9001,USA
American University of Sharjah,P.O. Box 26666,Sharjah,,,United Arab Emirates
Atlanta University Center,"111 James P. Brawley Drive, SW",Atlanta,GA,30314,USA
Berea College,Hutchins Library/CPO Library,Berea,KY,40404,USA
